line_index,baseline_max_current_pu,limit_rho_1p2,limit_rho_1p3,limit_rho_1p4,limit_rho_1p5
0,4.279447555541992,5.135337066650391,5.56328182220459,5.9912265777587885,6.419171333312988
1,4.242739677429199,5.091287612915039,5.515561580657959,5.939835548400879,6.364109516143799
2,3.207705020904541,3.849246025085449,4.170016527175903,4.490787029266357,4.8115575313568115
3,2.7577030658721924,3.309243679046631,3.58501398563385,3.860784292221069,4.136554598808289
4,2.7193102836608887,3.263172340393066,3.5351033687591555,3.807034397125244,4.078965425491333
5,2.6781272888183594,3.2137527465820312,3.481565475463867,3.7493782043457027,4.017190933227539
6,2.6530473232269287,3.1836567878723145,3.4489615201950072,3.7142662525177,3.979570984840393
7,2.4495134353637695,2.939416122436523,3.1843674659729007,3.4293188095092773,3.6742701530456543
8,1.2363094091415405,1.4835712909698486,1.6072022318840027,1.7308331727981567,1.8544641137123108
9,1.160616159439087,1.3927393913269042,1.5088010072708131,1.6248626232147216,1.7409242391586304
10,0.8530210256576538,1.0236252307891844,1.10892733335495,1.1942294359207153,1.2795315384864807
11,0.7672717571258545,0.9207261085510253,0.9974532842636109,1.0741804599761962,1.1509076356887817
12,0.7292540669441223,0.8751048803329468,0.948030287027359,1.0209556937217712,1.0938811004161835
13,0.543048620223999,0.6516583442687988,0.7059632062911988,0.7602680683135986,0.8145729303359985
14,0.5231279730796814,0.6277535676956176,0.6800663650035859,0.7323791623115539,0.7846919596195221
15,0.5079159140586853,0.6094990968704224,0.6602906882762909,0.7110822796821594,0.761873871088028
16,0.3312523066997528,0.39750276803970336,0.43062799870967866,0.4637532293796539,0.4968784600496292
17,0.3109497129917145,0.37313965559005735,0.40423462688922884,0.4353295981884002,0.4664245694875717
18,0.27145054936408997,0.3257406592369079,0.352885714173317,0.38003076910972594,0.40717582404613495
19,0.25036635994911194,0.3004396319389343,0.32547626793384554,0.35051290392875667,0.3755495399236679
20,0.1824551671743393,0.21894620060920714,0.2371917173266411,0.255437234044075,0.27368275076150894
21,0.1327471286058426,0.1592965543270111,0.17257126718759538,0.18584598004817962,0.19912069290876389
22,0.11130418628454208,0.1335650235414505,0.1446954421699047,0.15582586079835892,0.16695627942681313
23,0.0965091809630394,0.11581101715564728,0.12546193525195123,0.13511285334825515,0.1447637714445591
24,0.08494532108306885,0.10193438529968261,0.1104289174079895,0.11892344951629638,0.12741798162460327
25,0.035415612161159515,0.042498734593391416,0.04604029580950737,0.049581857025623316,0.05312341824173927
26,0.5365056991577148,0.6438068389892578,0.6974574089050293,0.7511079788208007,0.8047585487365723
27,0.5056359767913818,0.6067631721496581,0.6573267698287965,0.7078903675079345,0.7584539651870728
28,0.35857537388801575,0.4302904486656189,0.4661479860544205,0.502005523443222,0.5378630608320236
29,0.29329949617385864,0.35195939540863036,0.38128934502601625,0.4106192946434021,0.43994924426078796
30,0.28625550866127014,0.34350661039352415,0.3721321612596512,0.40075771212577815,0.4293832629919052
31,0.20908227562904358,0.2508987307548523,0.27180695831775664,0.292715185880661,0.31362341344356537
32,0.19621020555496216,0.23545224666595457,0.2550732672214508,0.274694287776947,0.29431530833244324
33,0.03882114216685295,0.04658537060022354,0.05046748481690884,0.054349599033594126,0.05823171325027943
34,0.6729522943496704,0.8075427532196044,0.8748379826545716,0.9421332120895385,1.0094284415245056
35,0.6480813026428223,0.7776975631713867,0.842505693435669,0.9073138236999511,0.9721219539642334
36,0.5391441583633423,0.6469729900360107,0.700887405872345,0.7548018217086792,0.8087162375450134
37,0.5014380812644958,0.601725697517395,0.6518695056438446,0.7020133137702942,0.7521571218967438
38,0.441348135471344,0.5296177625656128,0.5737525761127472,0.6178873896598815,0.662022203207016
39,0.4279859662055969,0.5135831594467163,0.556381756067276,0.5991803526878356,0.6419789493083954
40,0.40699154138565063,0.48838984966278076,0.5290890038013458,0.5697881579399109,0.610487312078476
41,0.39022883772850037,0.4682746052742004,0.5072974890470505,0.5463203728199004,0.5853432565927505
42,0.3617035448551178,0.43404425382614137,0.4702146083116531,0.5063849627971649,0.5425553172826767
43,0.2572628855705261,0.30871546268463135,0.33444175124168396,0.3601680397987366,0.3858943283557892
44,0.034239668399095535,0.04108760207891464,0.0445115689188242,0.047935535758733744,0.0513595025986433
45,0.6317674517631531,0.7581209421157836,0.8212976872920991,0.8844744324684143,0.9476511776447296
46,0.631747305393219,0.7580967664718627,0.8212714970111847,0.8844462275505065,0.9476209580898285
47,0.5730045437812805,0.6876054525375366,0.7449059069156647,0.8022063612937926,0.8595068156719208
48,0.2875102758407593,0.3450123310089111,0.3737633585929871,0.402514386177063,0.4312654137611389
49,0.21516864001750946,0.2582023680210113,0.27971923202276233,0.30123609602451323,0.3227529600262642
50,0.2063775509595871,0.2476530611515045,0.26829081624746326,0.2889285713434219,0.30956632643938065
51,1.382065773010254,1.6584789276123046,1.7966855049133301,1.9348920822143554,2.073098659515381
52,1.3806244134902954,1.6567492961883545,1.794811737537384,1.9328741788864134,2.070936620235443
53,1.3688411712646484,1.6426094055175782,1.779493522644043,1.9163776397705077,2.0532617568969727
54,1.3366979360580444,1.6040375232696533,1.7377073168754578,1.871377110481262,2.0050469040870667
55,1.3431347608566284,1.611761713027954,1.746075189113617,1.8803886651992796,2.0147021412849426
56,1.306403398513794,1.5676840782165526,1.6983244180679322,1.8289647579193113,1.959605097770691
57,1.3012726306915283,1.561527156829834,1.691654419898987,1.8217816829681395,1.9519089460372925
58,1.2248119115829468,1.4697742938995362,1.5922554850578308,1.7147366762161254,1.8372178673744202
59,1.2307838201522827,1.4769405841827392,1.6000189661979676,1.7230973482131957,1.846175730228424
60,0.40286678075790405,0.48344013690948484,0.5237268149852753,0.5640134930610656,0.6043001711368561
61,0.2348543107509613,0.28182517290115355,0.3053106039762497,0.3287960350513458,0.35228146612644196
62,0.22036780416965485,0.2644413650035858,0.28647814542055133,0.3085149258375168,0.33055170625448227
63,0.0631968230009079,0.07583618760108947,0.08215586990118028,0.08847555220127105,0.09479523450136185
64,0.07428836822509766,0.08914604187011718,0.09657487869262696,0.10400371551513671,0.11143255233764648
65,0.04461955279111862,0.053543463349342346,0.05800541862845421,0.062467373907566064,0.06692932918667793
66,0.06411099433898926,0.07693319320678711,0.08334429264068603,0.08975539207458495,0.09616649150848389
67,0.04529708996415138,0.05435650795698166,0.0588862169533968,0.06341592594981194,0.06794563494622707
