bus,load_kw,load_kvar,pv_kw
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,2.6,2.2,0.0
6,40.4,30.0,0.0
7,75.0,54.0,0.0
8,30.0,22.0,0.0
9,28.0,19.0,0.0
10,145.0,104.0,0.0
11,145.0,104.0,0.0
12,8.0,5.5,0.0
13,8.0,5.5,0.0
14,0.0,0.0,0.0
15,45.5,30.0,0.0
16,60.0,35.0,0.0
17,60.0,35.0,0.0
18,0.0,0.0,0.0
19,1.0,0.6,0.0
20,114.0,81.0,0.0
21,5.3,3.5,0.0
22,0.0,0.0,0.0
23,28.0,20.0,0.0
24,0.0,0.0,0.0
25,14.0,10.0,0.0
26,14.0,10.0,0.0
27,26.0,18.6,0.0
28,26.0,18.6,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,14.0,10.0,0.0
33,19.5,14.0,0.0
34,6.0,4.0,0.0
35,26.0,18.6,0.0
36,26.0,18.6,0.0
37,0.0,0.0,0.0
38,24.0,17.0,0.0
39,24.0,17.0,0.0
40,1.2,1.0,0.0
41,0.0,0.0,0.0
42,6.0,4.3,0.0
43,0.0,0.0,0.0
44,39.2,26.3,0.0
45,39.2,26.3,0.0
46,0.0,0.0,0.0
47,79.0,56.4,0.0
48,384.7,274.5,0.0
49,384.7,274.5,0.0
50,40.5,28.3,0.0
51,3.6,2.7,0.0
52,4.3,3.5,0.0
53,26.4,19.0,0.0
54,24.0,17.2,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,100.0,72.0,0.0
59,0.0,0.0,0.0
60,1244.0,888.0,0.0
61,32.0,23.0,0.0
62,0.0,0.0,0.0
63,227.0,162.0,0.0
64,59.0,42.0,0.0
65,18.0,13.0,0.0
66,18.0,13.0,0.0
67,28.0,20.0,0.0
68,28.0,20.0,0.0
